extension,UTI,preferred_extension
sync,com.econtechnologies.chronosync.document.sync,sync
tbz2,public.tar-bzip2-archive,tbz2
tcsh,public.tcsh-script,tcsh
term,com.apple.terminal.session,term
text,public.plain-text,txt
thmx,com.microsoft.office.openxml.theme,thmx
tiff,public.tiff,tiff
tool,com.apple.terminal.shell-script,command
tvdb,com.apple.tv.database,tvdb
udif,com.apple.disk-image-udif,dmg
ulaw,public.ulaw-audio,ul
usda,com.pixar.universal-scene-description-utf8,usda
usdc,com.pixar.universal-scene-description,usd
usdz,com.pixar.universal-scene-description-mobile,usdz
vcal,com.apple.ical.vcs,vcs
vert,org.khronos.glsl.vertex-shader,vs
wave,com.microsoft.waveform-audio,wav
webm,org.webmproject.webm,webm
webp,org.webmproject.webp,webp
xesc,org.videolan.xesc,xesc
xfdf,com.adobe.xfdf,xfdf
xhtm,public.xhtml,xhtml
xlam,com.microsoft.excel.openxml.addin,xlam
xlsb,com.microsoft.excel.sheet.binary.macroenabled,xlsb
xlsm,org.openxmlformats.spreadsheetml.sheet.macroenabled,xlsm
xlsx,org.openxmlformats.spreadsheetml.sheet,xlsx
xltm,org.openxmlformats.spreadsheetml.template.macroenabled,xltm
xltx,org.openxmlformats.spreadsheetml.template,xltx
yaml,public.yaml,yml
3gpp,public.3gpp,3gp
3gp2,public.3gpp2,3g2
abcdg,com.apple.addressbook.group,abcdg
abcdp,com.apple.addressbook.person,abcdp
afpub,com.seriflabs.affinitypublisher.document,afpub
blank,com.apple.preview.blank,blank
board,com.apple.freeform.board,board
bzip2,org.bzip.bzip2-archive,bz2
class,com.sun.java-class,class
crash,com.apple.crashreport,crash
dfont,com.apple.truetype-datafork-suitcase-font,dfont
dicom,org.nema.dicom,dcm
dlyan,public.dylan-source,dlyan
dylib,com.apple.mach-o-dylib,dylib
guide,com.apple.documentation.guide,guide
heics,public.heics,heics
heifs,public.heifs,heifs
ichat,com.apple.ichat.transcript,ichat
mdown,net.daringfireball.markdown,md
metal,com.apple.metal,metal
mhtml,com.microsoft.word.mhtml,mht
mode0,com.apple.xcode.projectdata,pbxproj
mode1,com.apple.xcode.projectdata,pbxproj
mode2,com.apple.xcode.projectdata,pbxproj
mode3,com.apple.xcode.projectdata,pbxproj
pages,com.apple.iwork.pages.sffpages,pages
panic,com.apple.panicreport,panic
paper,com.getdropbox.dropbox.paper,paper
patch,public.patch-file,patch
pbeml,com.postbox-inc.postbox.pbeml,pbeml
pcast,com.apple.itunes.podcast,pcast
phtml,public.php-script,php
plist,com.apple.property-list,plist
proto,public.protobuf-source,proto
sfont,com.apple.cfr-font,sfont
shtml,public.html,html
swift,public.swift-source,swift
toast,com.roxio.disk-image-toast,toast
vcard,public.vcard,vcf
wdmon,com.apple.wireless-diagnostics.wdmon,wdmon
wflow,com.apple.shortcuts.workflow-file,wflow
xhtml,public.xhtml,xhtml
xliff,org.oasis-open.xliff,xliff
afploc,com.apple.afp-internet-location,afploc
binder,com.getdropbox.dropbox.binder,binder
cboard,com.apple.finalcutpro.colorboard,cboard
emltpl,com.microsoft.outlook.template,emltpl
enspot,com.evernote.note-metadata2,enspot
ezdraw,com.dekorra.eazydraw.graphic,ezdraw
fcpxml,com.apple.finalcutpro.xml,fcpxml
fragsh,org.khronos.glsl.fragment-shader,fs
ftploc,com.apple.ftp-internet-location,ftploc
gsheet,com.google.gsheet,gsheet
ibooks,com.apple.ibooks-container,ibooks
icloud,com.apple.icloud-file-fault,icloud
ipmeta,com.apple.iphoto.ipmeta,ipmeta
ipspot,com.apple.iphoto.ipspot,ipspot
ktrace,com.apple.ktrace,ktrace
mgspot,com.advenio.macgourmet-spotlight-metadata,mgspot
mlproj,com.apple.createml.project,mlproj
mobile,com.apple.mobileconfig,mobileconfig
ndjson,public.ndjson,ndjson
papert,com.getdropbox.dropbox.papert,papert
pkpass,com.apple.pkpass-data,pkpass
vertex,org.khronos.glsl.vertex-shader,vs
vncloc,com.apple.vnc-internet-location,vncloc
webloc,com.apple.web-internet-location,webloc
afphoto,com.seriflabs.affinityphoto.document,afphoto
anydesk,com.philandro.playbackfilehandler.anydesk,anydesk
artrace,com.apple.ariadne.artrace,artrace
command,com.apple.terminal.shell-script,command
csstore,com.apple.csstore,csstore
dmgpart,com.apple.disk-image-udif-segment,dmgpart
drawing,com.apple.drawing,drawing
efindex,com.c-command.eaglefiler.index,efindex
ezddata,com.dekorra.eazydraw.binary,ezddata
